,DateTime,players,viewers,event,%chg_players,%chg_viewers,title
311,2015-11-08,883820,106151,No,-0.05618649452444646,0.04371466496239118,DOTA 2
312,2015-11-09,786685,93595,No,-0.10990360028060009,-0.11828433081176815,DOTA 2
313,2015-11-10,764623,54226,No,-0.028044261680342242,-0.4206314439873925,DOTA 2
314,2015-11-11,758508,62913,No,-0.00799740525723136,0.16019990410504192,DOTA 2
315,2015-11-12,762902,93692,No,0.005792951425693582,0.4892311604914723,DOTA 2
316,2015-11-13,770842,229114,No,0.010407627716272794,1.4453955513811212,DOTA 2
317,2015-11-14,893696,197005,No,0.15937637025486406,-0.14014420768700298,DOTA 2
318,2015-11-15,885519,57173,No,-0.009149643726725887,-0.7097890916474201,DOTA 2
319,2015-11-16,768503,244065,No,-0.13214397432466163,3.268885662812866,DOTA 2
320,2015-11-17,762878,246731,No,-0.007319424907905381,0.010923319607481607,DOTA 2
321,2015-11-18,805364,280026,No,0.05569173576902209,0.1349445347362106,DOTA 2
322,2015-11-19,814711,249796,No,0.011605932224435067,-0.10795426139001374,DOTA 2
323,2015-11-20,868800,341104,No,0.06639041328765671,0.36553027270252536,DOTA 2
324,2015-11-21,943635,408379,No,0.08613604972375688,0.1972272386134435,DOTA 2
325,2015-11-22,938452,63060,No,-0.005492589825515148,-0.8455846162510805,DOTA 2
326,2015-11-23,819893,52488,No,-0.12633464471278233,-0.16764985727878212,DOTA 2
327,2015-11-24,824984,77937,No,0.006209346829403328,0.48485368084133507,DOTA 2
328,2015-11-25,801070,71356,No,-0.02898722884322602,-0.08443999640735467,DOTA 2
329,2015-11-26,806469,124792,No,0.006739735603630059,0.7488648466842311,DOTA 2
330,2015-11-27,872981,86297,No,0.0824731018799234,-0.3084732995704853,DOTA 2
331,2015-11-28,932447,89393,No,0.06811832101729598,0.03587610229787819,DOTA 2
332,2015-11-29,892824,162152,No,-0.04249356799903914,0.8139227903750852,DOTA 2
333,2015-11-30,785340,51563,No,-0.12038654874868959,-0.6820082391829888,DOTA 2
334,2015-12-01,787339,197384,No,0.002545394351491037,2.828016213176115,DOTA 2
335,2015-12-02,793816,200025,No,0.008226443755485313,0.013380010537834774,DOTA 2
336,2015-12-03,811370,187652,No,0.02211343686698175,-0.06185726784151979,DOTA 2
337,2015-12-04,875300,137954,No,0.07879265932928248,-0.2648413019845245,DOTA 2
338,2015-12-05,965737,111449,No,0.10332114703530215,-0.1921292604781304,DOTA 2
339,2015-12-06,910799,144848,No,-0.05688712351292324,0.29967967411102836,DOTA 2
340,2015-12-07,812398,195742,No,-0.1080381072003812,0.35136142715122065,DOTA 2
341,2015-12-08,809411,68072,No,-0.003676769268265101,-0.6522361067118962,DOTA 2
342,2015-12-09,801863,126915,No,-0.009325299507913831,0.8644229639205547,DOTA 2
343,2015-12-10,813830,134027,No,0.014923995744908991,0.05603750541701147,DOTA 2
344,2015-12-11,875420,127965,No,0.0756791959008638,-0.0452296925246406,DOTA 2
345,2015-12-12,945840,157611,No,0.08044138813369583,0.23167272301019803,DOTA 2
346,2015-12-13,912044,217290,No,-0.03573120189461221,0.37864742943068697,DOTA 2
347,2015-12-14,811128,182153,No,-0.11064817048300302,-0.16170555478853144,DOTA 2
348,2015-12-15,823501,72068,No,0.015254065942736483,-0.6043545810390166,DOTA 2
349,2015-12-16,853789,58533,No,0.036779554608919796,-0.18780873619359495,DOTA 2
350,2015-12-17,878623,101702,No,0.029086811846955163,0.7375155894965233,DOTA 2
351,2015-12-18,949318,94928,No,0.08046113065558269,-0.06660635975693696,DOTA 2
352,2015-12-19,979628,104035,No,0.031928184233312784,0.09593586718354974,DOTA 2
353,2015-12-20,999452,152378,No,0.020236252944995536,0.4646801557168261,DOTA 2
354,2015-12-21,863814,53150,No,-0.13571237037896766,-0.6511963669296092,DOTA 2
355,2015-12-22,870708,79515,No,0.00798088477380543,0.4960489181561618,DOTA 2
356,2015-12-23,855222,90097,No,-0.017785526261387297,0.1330818084638119,DOTA 2
357,2015-12-24,816695,79849,No,-0.04504912174850506,-0.11374407582938384,DOTA 2
358,2015-12-25,869546,60155,No,0.06471326504998798,-0.24664053400793995,DOTA 2
359,2015-12-26,950224,66864,No,0.09278175047668547,0.11152855124262318,DOTA 2
360,2015-12-27,926607,126242,No,-0.02485413965549177,0.888041397463508,DOTA 2
361,2015-12-28,901861,191361,No,-0.02670603610808031,0.5158267454571379,DOTA 2
362,2015-12-29,888853,165199,No,-0.014423508722519296,-0.1367154226827828,DOTA 2
363,2015-12-30,909917,78702,No,0.02369795680500597,-0.5235927578254106,DOTA 2
