"DateTime","Players","Players Trend","Twitch Viewers"
"2020-12-31 14:00:00",100024,96419.98094235214,212
"2020-12-31 14:10:00",100512,96429.35736703005,236
"2020-12-31 14:20:00",100946,96439.52053050323,208
"2020-12-31 14:30:00",101329,96451.48335122783,248
"2020-12-31 14:40:00",102251,96465.20359817198,203
"2020-12-31 14:50:00",102968,96478.03875536834,211
"2020-12-31 15:00:00",103932,96488.9836609404,229
"2020-12-31 15:10:00",105051,96500.41048617991,256
"2020-12-31 15:20:00",105330,96508.7982601035,269
"2020-12-31 15:30:00",105612,96518.26887870277,286
"2020-12-31 15:40:00",105993,96528.19365295672,282
"2020-12-31 15:50:00",106198,96536.87436680982,281
"2020-12-31 16:00:00",106158,96546.42522849905,306
"2020-12-31 16:10:00",105699,96554.97673026097,318
"2020-12-31 16:20:00",104460,96563.60674072237,290
"2020-12-31 16:30:00",103418,96576.52474947691,262
"2020-12-31 16:40:00",103337,96593.6029346988,272
"2020-12-31 16:50:00",104313,96619.76481114412,300
"2020-12-31 17:00:00",104946,96645.6218546966,321
"2020-12-31 17:10:00",105617,96668.6503826671,355
"2020-12-31 17:20:00",106084,96680.9832617553,349
"2020-12-31 17:30:00",106107,96688.9011466248,392
"2020-12-31 17:40:00",106426,96694.42844262745,392
"2020-12-31 17:50:00",106545,96700.84740804977,407
"2020-12-31 18:00:00",106732,96710.66232380793,417
"2020-12-31 18:10:00",107032,96719.0786188195,515
"2020-12-31 18:20:00",107364,96728.70364634952,535
"2020-12-31 18:30:00",107595,96739.07943783724,527
"2020-12-31 18:40:00",108389,96750.48510626584,498
"2020-12-31 18:50:00",109089,96761.63809740118,483
"2020-12-31 19:00:00",109298,96770.96036367142,548
"2020-12-31 19:10:00",110041,96782.79965725142,715
"2020-12-31 19:20:00",110655,96794.76401277393,698
"2020-12-31 19:30:00",111038,96807.59859872263,732
"2020-12-31 19:40:00",111610,96821.15145633741,738
"2020-12-31 19:50:00",111784,96834.70120306136,795
"2020-12-31 20:00:00",111810,96852.15199317256,846
"2020-12-31 20:10:00",111309,96869.1135268693,731
"2020-12-31 20:20:00",111305,96889.47856100652,659
"2020-12-31 20:30:00",111078,96911.58711182693,610
"2020-12-31 20:40:00",110914,96929.19216633635,584
"2020-12-31 20:50:00",110864,96950.464142165,584
"2020-12-31 21:00:00",110691,96970.13004487395,553
"2020-12-31 21:10:00",110241,96990.20939323866,590
"2020-12-31 21:20:00",110744,97016.44113396105,589
"2020-12-31 21:30:00",110917,97044.30943728668,570
"2020-12-31 21:40:00",111201,97075.66988079512,584
"2020-12-31 21:50:00",111842,97108.6012897809,588
"2020-12-31 22:00:00",112054,97141.22207080724,599
"2020-12-31 22:10:00",112195,97172.65032072463,589
"2020-12-31 22:20:00",112477,97206.54468808505,521
"2020-12-31 22:30:00",112237,97243.63550958049,525
"2020-12-31 22:40:00",112504,97290.54802609849,538
"2020-12-31 22:50:00",112101,97336.87445628238,545
"2020-12-31 23:00:00",111159,97383.50772904971,554
"2020-12-31 23:10:00",110129,97432.48137594984,492
"2020-12-31 23:20:00",109929,97486.85859211546,502
"2020-12-31 23:30:00",109951,97542.80418593771,516
"2020-12-31 23:40:00",109717,97598.45302692437,499
"2020-12-31 23:50:00",108547,97654.92457466142,541
"2021-01-01 00:00:00",107635,97709.7533930735,590
"2021-01-01 00:10:00",107241,97765.47522987562,603
"2021-01-01 00:20:00",106144,97816.4501569211,664
"2021-01-01 00:30:00",105639,97870.95446536731,506
